"","Date","weekly_sales","IsHoliday","Temperature","Fuel_Price","CPI","Unemployment","Store"
"1","2010-02-05",0.544157614751918,0,-1.73724551379029,-1.61845313011017,-1.21027422382304,1.44249180304181,22
"2","2010-02-12",0.203843264354921,1,-1.78912697613364,-1.61845313011017,-1.27396605369696,1.43043605399619,22
"3","2010-02-19",0.208971019125424,0,-1.5738633732322,-1.61845313011017,-1.26692753238125,1.44767089850995,22
"4","2010-02-26",-0.667359369756825,0,-1.42682055150552,-1.61845313011017,-1.17730378113981,1.41707279786063,22
"5","2010-03-05",-0.0780129788494264,0,-1.20069174015323,-1.61845313011017,-1.12570397112701,1.42912313945701,22
"6","2010-03-12",-0.266387593223047,0,-0.841753830444394,-1.55884857548148,-1.12947754671358,1.42920340353231,22
"7","2010-03-19",-0.450676169331754,0,-0.710980023825178,-1.45883141525316,-1.28396310492632,1.44251396597483,22
"8","2010-03-26",-0.707230579216359,0,-0.84702705691047,-1.51904611063628,-1.17428583669597,1.41843645281705,22
"9","2010-04-02",0.594205802970569,0,-0.485179923347591,-1.46113600546696,-1.27665896909374,1.08623614676014,22
"10","2010-04-09",0.00860234546293608,0,-0.124206022868123,-1.46003430941381,-1.29547397140638,1.07748249633988,22
"11","2010-04-16",-0.39470256935025,0,-0.188382773527705,-1.15488358040256,-1.35081057187418,1.08516097199502,22
"12","2010-04-23",-0.53310761418158,0,-0.25324971540236,-1.15092907800263,-1.32086203887954,1.09751259329744,22
"13","2010-04-30",-0.681945372601107,0,-0.194220758645867,-1.15221912554821,-1.26523255687706,1.09647220913595,22
"14","2010-05-07",0.31390132789914,0,0.231728957044419,-1.15155078551873,-1.2548273849482,1.10331342135233,22
"15","2010-05-14",-0.32652815884065,0,-0.0116672241717004,-1.1496806826699,-1.27986427119145,1.09397674833674,22
"16","2010-05-21",-0.393455393654185,0,0.35057110930075,-1.15445080008141,-1.19877149031085,1.08657078861296,22
"17","2010-05-28",0.0128282970799243,0,0.674168832446134,-1.15382922964601,-1.150621643587,1.09970460827228,22
"18","2010-06-04",0.589185748227757,0,0.839829537607403,-1.31496884289083,-1.12758909697336,1.08298898916972,22
"19","2010-06-11",0.135139178311966,0,0.89389461362307,-1.55546582521559,-1.08151428055587,1.09657293175633,22
"20","2010-06-18",0.0308973674546577,0,0.864505090569114,-1.52007347777141,-1.13175299451217,1.08970746017247,22
